availability,size,total_sqft,bath,balcony,price,location
19-Dec,2 BHK,1056,2,1,62.512,Bhaktapur
Ready To Move,4 Bedroom,2600,5,3,192,Bhaktapur
Ready To Move,3 BHK,1440,2,3,99.2,Bhaktapur
Ready To Move,3 BHK,1521,3,1,152,Lalitpur
Ready To Move,2 BHK,1200,2,1,81.6,Lalitpur
Ready To Move,2 BHK,1170,2,1,60.8,Bhaktapur
18-May,4 BHK,2732,4,,326.4,Lalitpur
Ready To Move,4 BHK,3300,4,,960,Lalitpur
Ready To Move,3 BHK,1310,3,1,101.2,Lalitpur
Ready To Move,6 Bedroom,1020,6,,592,Lalitpur
18-Feb,3 BHK,1800,2,2,112,Lalitpur
Ready To Move,4 Bedroom,2785,5,3,472,Kathmandu
Ready To Move,2 BHK,1000,2,1,60.8,Kathmandu
Ready To Move,2 BHK,1100,2,2,64,Lalitpur
Ready To Move,3 Bedroom,2250,3,2,236.8,Lalitpur
Ready To Move,2 BHK,1175,2,2,117.6,Bhaktapur
Ready To Move,3 BHK,1180,3,2,76.8,Kathmandu
Ready To Move,3 BHK,1540,3,3,96,Kathmandu
Ready To Move,3 BHK,2770,4,2,464,Kathmandu
Ready To Move,2 BHK,1100,2,2,76.8,Bhaktapur
Ready To Move,1 BHK,600,1,1,24,Lalitpur
19-Dec,3 BHK,1755,3,1,195.2,Kathmandu
Ready To Move,4 Bedroom,2800,5,2,608,Kathmandu
Ready To Move,3 BHK,1767,3,1,164.8,Kathmandu
18-Nov,1 RK,510,1,0,40.4,Bhaktapur
18-May,3 BHK,1250,3,2,89.6,Bhaktapur
Ready To Move,2 BHK,660,1,1,36.96,Kathmandu
20-Dec,3 BHK,1610,3,2,129.6,Kathmandu
17-Oct,2 BHK,1151,2,2,78.032,Kathmandu
Ready To Move,3 BHK,1025,2,1,75.2,Kathmandu
19-Dec,4 BHK,2100 - 2850,4,0,297.6,Bhaktapur
Ready To Move,3 BHK,1075,2,1,56,Bhaktapur
Ready To Move,3 BHK,1760,2,2,196.8,Kathmandu
Ready To Move,3 BHK,1693,3,3,91.824,Lalitpur
Ready To Move,3 BHK,1925,3,,200,Kathmandu
21-Dec,2 BHK,700,2,1,57.6,Kathmandu
Ready To Move,2 BHK,1070,2,1,72.8,Kathmandu
Ready To Move,3 BHK,1724,3,2,200,Kathmandu
Ready To Move,3 BHK,1290,2,2,89.792,Kathmandu
Ready To Move,2 BHK,1143,2,2,72,Lalitpur
Ready To Move,2 BHK,1296,2,,129.6,Lalitpur
