bath,balcony,price,total_sqft_int,bhk,location_Bhaktapur,location_Kathmandu,location_Lalitpur,availability_Apr,availability_Aug,availability_Dec,availability_Feb,availability_Jan,availability_Jul,availability_Jun,availability_May,availability_Nov,availability_Oct,availability_Ready To Move,availability_Sep,availability_This Month
2.0,2,117.6,1175,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0,40.4,510,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,0,297.6,2475,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,2,120.0,1185,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,99.2,1100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,161.6,1569,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,140.8,1665,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,3,128.0,1296,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,1,392.0,2894,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,89.088,782,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,120.0,1413,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,119.6,1436,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.0,0,763.2,5611,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,2,240.0,2650,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,136.08,1260,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,1,176.0,1828,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,2,146.096,1710,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1,92.8,957,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,240.0,1904,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,103.2,1152,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,22.4,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,107.2,705,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,248.0,1700,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,176.0,1704,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,2,156.8,1327,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,142.4,1798,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,3,124.8,1415,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,184.0,1500,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,206.4,1933,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1,26.32,645,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,3,134.4,1644,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,448.0,4050,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,2,88.0,1060,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,100.8,1108,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,2,272.0,3045,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,95.84,1162,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,192.0,1804,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,209.6,1868,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,1,156.8,1475,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,0,192.0,2000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,168.0,1847,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,184.0,1560,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,132.944,1385,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,104.0,1128,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2,152.0,1645,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,240.0,1850,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,45.36,630,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,1,200.0,1762,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,80.0,950,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,29.6,500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.0,2,339.2,2483,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,172.8,1600,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,152.0,1800,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,172.8,1693,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2,257.6,1910,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,120.0,1105,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,152.0,1400,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,152.0,1715,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,208.0,1760,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,3,176.0,1800,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,0,80.272,929,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,96.0,1130,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,192.0,1753,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,152.0,1511,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,112.0,1195,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,65.6,700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2,176.0,1353,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,105.6,1170,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,161.6,1768,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,1,128.0,1056,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,160.0,1550,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,137.6,1600,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2,200.0,2100,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,1,116.8,1460,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,3,120.0,1419,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
